"doc_id","title","genre","cluster"
"news_01","AI recruited to speed up home approvals","News",1
"news_02","AI data centres and Australia's energy transition","News",1
"news_03","Australia expands first-home buyer support scheme","News",1
"news_04","Australian house price rises expected to continue","News",1
"news_05","Australian central bank and inflation pressures","News",1
"news_06","Oil shock, inflation and slower economic growth","News",1
"news_07","Exploring drivers of extreme housing prices in Australia","News",1
"sports_01","Caloundra win round three football match","Sports",2
"sports_02","Melbourne Victory win A-League grand final","Sports",2
"sports_03","Roger Federer wins Australian Open","Sports",2
"sports_04","Djokovic beats Federer in Australian Open semifinal","Sports",2
"sports_05","Coco Gauff wins US Open women's singles title","Sports",2
"sports_06","Glasshouse reach women's cricket final","Sports",2
"sports_07","Australian federal budget and sport funding","Sports",2
"film_01","Dune: Part Two review","Film Review",3
"film_02","The Batman review","Film Review",3
"film_03","Oppenheimer review","Film Review",3
"film_04","Dune review","Film Review",3
"film_05","The Dark Knight review","Film Review",3
"film_06","Dune: Part Two review from ABC Triple J","Film Review",3
