"doc_id","genre","community","degree","strength","betweenness","sentiment"
"sports_05","Sports",2,6,5.802,2,7.4
"sports_07","Sports",2,6,5.799,1,6.9
"news_01","News",1,6,5.786,2,2.3
"news_03","News",1,6,5.781,2,2.2
"film_05","Film Review",3,5,4.917,0,3.7
"film_03","Film Review",3,5,4.898,0,5.8
"film_04","Film Review",3,5,4.886,0,5.6
"film_02","Film Review",3,5,4.879,0,5.3
"film_01","Film Review",3,5,4.855,0,5.3
"film_06","Film Review",3,5,4.855,0,5.8
"sports_03","Sports",2,5,4.832,1,7.65
"sports_06","Sports",2,5,4.782,0,8.5
"news_06","News",1,5,4.781,0,1.3
"sports_02","Sports",2,5,4.771,0,9.2
"sports_04","Sports",2,4,3.887,0,7.4
"news_07","News",1,4,3.854,1,2.15
"news_05","News",1,4,3.843,0,2.45
"news_02","News",1,4,3.798,0,2.3
"news_04","News",1,3,2.892,0,2.7
"sports_01","Sports",2,3,2.84,0,8.15
