"","also","appear","articl","can","cluster","connect","contain","differ","discuss","document","draft","film","focus","genr","help","idea","includ","like","main","may","network","news","overal","review","sentiment","share","sourc","sport","strong","term","text","use","vocabulari","word"
"news_01",2,1,4,1,1,3,2,1,1,6,1,1,1,1,1,1,2,1,1,3,1,5,1,1,1,1,1,1,1,2,3,2,2,1
"news_02",2,1,4,1,1,3,2,1,1,6,1,1,1,1,1,1,2,1,1,3,1,5,1,1,1,1,1,1,1,2,3,2,2,1
"news_03",2,1,4,1,1,3,2,1,1,6,1,1,1,1,1,1,2,1,1,3,1,5,1,1,1,1,1,1,1,2,3,2,2,1
"news_04",2,1,4,1,1,3,2,1,1,6,1,1,1,1,1,1,2,1,1,3,1,5,1,1,1,1,1,1,1,2,3,2,2,1
"news_05",2,1,4,1,1,3,2,1,1,6,1,1,1,1,1,1,2,1,1,3,1,5,1,1,1,1,1,1,1,2,3,2,2,1
"news_06",2,1,4,1,1,3,2,1,1,6,1,1,1,1,1,1,2,1,1,3,1,5,1,1,1,1,1,1,1,2,3,2,2,1
"news_07",2,1,4,1,1,3,2,1,1,6,1,1,1,1,1,1,2,1,1,3,1,5,1,1,1,1,1,1,1,2,3,2,2,1
"sports_01",1,1,2,2,1,2,2,1,2,7,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,9,1,2,2,2,2,2
"sports_02",1,1,2,2,1,2,2,1,2,7,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,9,1,2,2,2,2,2
"sports_03",1,1,2,2,1,2,2,1,2,7,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,9,1,2,2,2,2,2
"sports_04",1,1,2,2,1,2,2,1,2,7,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,9,1,2,2,2,2,2
"sports_05",1,1,2,2,1,2,2,1,2,7,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,9,1,2,2,2,2,2
"sports_06",1,1,2,2,1,2,2,1,2,7,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,10,1,2,2,2,2,2
"sports_07",1,1,2,2,1,2,2,1,2,7,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,11,1,2,2,2,2,2
"film_01",3,1,1,2,1,3,1,1,3,5,1,12,2,2,1,1,2,1,1,4,2,2,2,10,1,1,1,1,1,1,2,2,1,1
"film_02",3,1,1,2,1,3,1,1,3,5,1,12,2,2,1,1,2,1,1,4,2,2,2,10,1,1,1,1,1,1,2,2,1,1
"film_03",3,1,1,2,1,3,1,1,3,5,1,12,2,2,1,1,2,1,1,4,2,2,2,10,1,1,1,1,1,1,2,2,1,1
"film_04",3,1,1,2,1,3,1,1,3,5,1,12,2,2,1,1,2,1,1,4,2,2,2,10,1,1,1,1,1,1,2,2,1,1
"film_05",3,1,1,2,1,3,1,1,3,5,1,12,2,2,1,1,2,1,1,4,2,2,2,10,1,1,1,1,1,1,2,2,1,1
"film_06",3,1,1,2,1,3,1,1,3,5,1,12,2,2,1,1,2,1,1,4,2,2,2,11,1,1,1,1,1,1,2,2,1,1
