"token","community","degree","strength","betweenness"
"polici",3,64,0.194,1915
"energi",3,63,0.161,0
"team",2,51,0.113,1205
"charact",1,50,0.112,1148
"audienc",1,50,0.106,0
"public",3,18,0.062,0
"hous",3,18,0.061,0
"competit",2,17,0.052,0
"player",2,17,0.052,0
"result",2,17,0.052,0
"inflat",3,16,0.05,0
"econom",3,14,0.045,0
"win",2,16,0.044,0
"concern",3,12,0.034,0
"consequ",3,12,0.034,0
"decis",3,12,0.034,0
"govern",3,12,0.034,0
"issu",3,12,0.034,0
"match",2,12,0.034,0
"maker",3,12,0.034,0
"price",3,12,0.03,0
"atmospher",1,9,0.025,0
"drama",1,9,0.025,0
"visual",1,9,0.025,0
"achiev",2,9,0.024,0
"defeat",2,9,0.024,0
"tournament",2,9,0.024,0
"act",1,9,0.023,0
"artist",1,9,0.023,0
"evalu",1,9,0.023,0
"stori",1,9,0.023,0
"languag",2,9,0.02,0
"scienc",1,9,0.018,0
"australia",3,6,0.014,0
"final",2,6,0.014,0
"footbal",2,6,0.014,0
"market",3,6,0.013,0
"round",2,6,0.012,0
"afford",3,5,0.012,0
"tenni",2,5,0.011,0
"uncertainti",3,5,0.011,0
"perform",2,5,0.01,0
"report",2,5,0.01,0
"victori",2,5,0.01,0
"demand",3,4,0.009,0
"plan",3,4,0.009,0
"cricket",2,4,0.008,0
"fiction",1,2,0.005,0
"basic",1,2,0.004,0
"bridg",1,2,0.004,0
"broad",1,2,0.004,0
"address",3,2,0.004,0
"affair",3,2,0.004,0
"affect",3,2,0.004,0
"ask",3,2,0.004,0
"assign",3,2,0.004,0
"background",3,2,0.004,0
"broader",3,2,0.004,0
"busi",3,2,0.004,0
"captur",3,2,0.004,0
"chang",3,2,0.004,0
"citizen",3,2,0.004,0
"communiti",3,2,0.004,0
"consid",3,2,0.004,0
"contribut",3,2,0.004,0
"event",3,2,0.004,0
"expert",3,2,0.004,0
"explain",3,2,0.004,0
"financi",3,2,0.004,0
"immedi",3,2,0.004,0
"inform",3,2,0.004,0
"institut",3,2,0.004,0
"interact",3,2,0.004,0
"invest",3,2,0.004,0
"matrix",3,2,0.004,0
"might",3,2,0.004,0
"mix",3,2,0.004,0
"modern",3,2,0.004,0
"next",3,2,0.004,0
"offici",3,2,0.004,0
"cinema",1,2,0.004,0
"cinematographi",1,2,0.004,0
"craft",1,2,0.004,0
"critic",1,2,0.004,0
"criticis",1,2,0.004,0
"descript",1,2,0.004,0
"design",1,2,0.004,0
"dialogu",1,2,0.004,0
"direct",1,2,0.004,0
"director",1,2,0.004,0
"experi",1,2,0.004,0
"histor",1,2,0.004,0
"impact",1,2,0.004,0
"judgement",1,2,0.004,0
"keyword",1,2,0.004,0
"length",1,2,0.004,0
"movi",1,2,0.004,0
"music",1,2,0.004,0
"opinion",1,2,0.004,0
"pace",1,2,0.004,0
"plot",1,2,0.004,0
"potenti",3,2,0.004,0
"prais",1,2,0.004,0
"problem",3,2,0.004,0
"qualiti",1,2,0.004,0
"reaction",1,2,0.004,0
"reader",3,2,0.004,0
"regul",3,2,0.004,0
"relat",1,2,0.004,0
"scene",1,2,0.004,0
"serious",3,2,0.004,0
"show",3,2,0.004,0
"similar",1,2,0.004,0
"social",3,2,0.004,0
"solut",3,2,0.004,0
"specif",1,2,0.004,0
"spectacl",1,2,0.004,0
"style",3,2,0.004,0
"succeed",1,2,0.004,0
"superhero",1,2,0.004,0
"system",3,2,0.004,0
"technic",1,2,0.004,0
"technolog",3,2,0.004,0
"tension",1,2,0.004,0
"tone",3,2,0.004,0
"type",3,2,0.004,0
"unlik",1,2,0.004,0
"usual",3,2,0.004,0
"warn",3,2,0.004,0
"weak",1,2,0.004,0
"whether",1,2,0.004,0
"wider",3,2,0.004,0
"world",1,2,0.004,0
"part",3,1,0.002,0
"across",2,1,0.002,0
"around",2,1,0.002,0
"athlet",2,1,0.002,0
"clear",2,1,0.002,0
"confid",2,1,0.002,0
"context",2,1,0.002,0
"creat",2,1,0.002,0
"disappoint",2,1,0.002,0
"individu",2,1,0.002,0
"link",2,1,0.002,0
"loss",2,1,0.002,0
"matter",2,1,0.002,0
"mistak",2,1,0.002,0
"moment",2,1,0.002,0
"momentum",2,1,0.002,0
"natur",2,1,0.002,0
"often",2,1,0.002,0
"outcom",2,1,0.002,0
"pattern",2,1,0.002,0
"process",2,1,0.002,0
"recur",2,1,0.002,0
"relationship",2,1,0.002,0
"respond",2,1,0.002,0
"score",2,1,0.002,0
"season",2,1,0.002,0
"sever",2,1,0.002,0
"signific",2,1,0.002,0
"smaller",2,1,0.002,0
"specialis",2,1,0.002,0
"subgroup",2,1,0.002,0
"success",2,1,0.002,0
"time",2,1,0.002,0
"togeth",2,1,0.002,0
"within",2,1,0.002,0
